Slot,Folder,File name pattern,Aspect ratio,Sizes (px wide),Role,Current source,Alt text,Used on,Custom image prompt
"p:canvas-printing-dubai:production","website/assets/images/products/canvas-printing-dubai/","canvas-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:large-format-printer)","Wide-format inkjet printer printing a large graphic onto roll media","/canvas-printing-dubai/","Photorealistic commercial photograph of canvas printing production: Wide-format inkjet printer printing a large graphic onto roll media. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:interior-panel-printing-dubai:hero","website/assets/images/products/interior-panel-printing-dubai/","interior-panel-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Row of printed timeline panels mounted on stand-offs along an office corridor","/interior-panel-printing-dubai/","Realistic commercial photograph of a row of printed company timeline panels on white foam PVC, mounted on brushed stand-offs along a bright Dubai office corridor, even spacing and aligned joins, soft daylight, three-quarter perspective, fictional brand name, no real logos, no Flash Print Solution branding"
"p:interior-panel-printing-dubai:detail","website/assets/images/products/interior-panel-printing-dubai/","interior-panel-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a printed foam PVC panel edge with a brushed stand-off fixing","/interior-panel-printing-dubai/","Macro photograph of the corner of a printed 10 mm foam PVC panel with a clean square edge and a brushed aluminium stand-off cap, sitting off a pale grey wall, soft side lighting, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding"
"p:interior-panel-printing-dubai:application","website/assets/images/products/interior-panel-printing-dubai/","interior-panel-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Property sales gallery with large printed photographic panels and a model display","/interior-panel-printing-dubai/","Realistic interior photograph of a Dubai property sales gallery with large printed photographic wall panels of fictional residential towers behind an architectural scale model on a plinth, polished floor, warm accent lighting, wide view, fictional brand name, no real logos, no Flash Print Solution branding"
"p:interior-panel-printing-dubai:production","website/assets/images/products/interior-panel-printing-dubai/","interior-panel-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:sign-fabrication)","Workshop fabrication of signage","/interior-panel-printing-dubai/","Photorealistic commercial photograph of interior panels production: Workshop fabrication of signage — acrylic, aluminium composite panels and letters. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:wallpaper-printing-dubai:hero","website/assets/images/products/wallpaper-printing-dubai/","wallpaper-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Hotel guest room feature wall with custom printed botanical wallpaper behind the bed","/wallpaper-printing-dubai/","Realistic commercial photograph of a Dubai hotel guest room with a custom printed botanical wallpaper feature wall in deep green and gold behind an upholstered headboard, matching cushions, warm bedside lamps, straight-on wide view, fictional brand name, no real logos, no Flash Print Solution branding"
"p:wallpaper-printing-dubai:detail","website/assets/images/products/wallpaper-printing-dubai/","wallpaper-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of linen-textured printed wallpaper showing a matched pattern join","/wallpaper-printing-dubai/","Macro photograph of linen-embossed printed wallpaper showing a geometric pattern matching precisely across a vertical join between two drops, raking light revealing the texture, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding"
"p:wallpaper-printing-dubai:application","website/assets/images/products/wallpaper-printing-dubai/","wallpaper-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Restaurant dining area with dark patterned wallpaper and warm pendant lighting","/wallpaper-printing-dubai/","Realistic interior photograph of an intimate Dubai restaurant dining area with dark patterned custom wallpaper, velvet banquette seating, set tables and warm brass pendant lights, evening ambience, eye-level three-quarter view, fictional brand name, no real logos, no Flash Print Solution branding"
"p:wallpaper-printing-dubai:production","website/assets/images/products/wallpaper-printing-dubai/","wallpaper-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:large-format-printer)","Wide-format inkjet printer printing a large graphic onto roll media","/wallpaper-printing-dubai/","Photorealistic commercial photograph of wallpaper printing production: Wide-format inkjet printer printing a large graphic onto roll media. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:window-display-graphics-dubai:hero","website/assets/images/products/window-display-graphics-dubai/","window-display-graphics-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Boutique shop window with colourful sale graphics on glass and hanging display boards","/window-display-graphics-dubai/","Realistic commercial photograph of a boutique shopfront in a Dubai mall with bold printed sale graphics on the glass and double-sided hanging display boards behind, mannequins in the window, bright even mall lighting, straight-on view, fictional brand name, no real logos, no Flash Print Solution branding"
"p:window-display-graphics-dubai:detail","website/assets/images/products/window-display-graphics-dubai/","window-display-graphics-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of perforated one-way vision film on a shop window with dots visible","/window-display-graphics-dubai/","Macro photograph of printed perforated one-way vision film on a shop window, regular pattern of small holes visible through a colourful printed image, daylight behind, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding"
"p:window-display-graphics-dubai:application","website/assets/images/products/window-display-graphics-dubai/","window-display-graphics-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Mall shopfront window display with seasonal campaign graphics and product mannequins","/window-display-graphics-dubai/","Realistic photograph of a fashion store window in a Dubai mall dressed for a festive season campaign, printed window vinyl framing the glass, a fabric backdrop and mannequins, shoppers softly blurred in the foreground, warm lighting, fictional brand name, no real logos, no Flash Print Solution branding"
"p:window-display-graphics-dubai:production","website/assets/images/products/window-display-graphics-dubai/","window-display-graphics-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:vinyl-installation)","Installer applying printed vinyl film to glass or wall with a squeegee","/window-display-graphics-dubai/","Photorealistic commercial photograph of window displays production: Installer applying printed vinyl film to glass or wall with a squeegee. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
